;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;13008
2016-01;1.0;;;;;;;;;;;;;;;;13008
2017-01;1.0;1.0;;;;;;;;;;;;;;;13008
2018-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;13008
2020-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;13008
2021-01;2.0;2.0;;;;;;;;;;;;;;;13008
2022-01;2.0;1.0;1.0;;;;;;;;;;;;;;13008
2023-01;1.0;1.0;;;;;;;;;;;;;;;13008
2024-01;2.0;;;;;;;;;;;;;;;;13008
2009-01;18.0;11.0;11.0;13.0;13.0;13.0;12.0;12.0;12.0;10.0;9.0;9.0;11.0;9.0;7.0;7.0;13001
2010-01;21.0;19.0;18.0;17.0;16.0;15.0;13.0;13.0;9.0;8.0;7.0;6.0;6.0;6.0;6.0;;13001
2011-01;13.0;12.0;9.0;7.0;7.0;7.0;7.0;7.0;7.0;4.0;4.0;3.0;3.0;3.0;;;13001
2012-01;20.0;20.0;16.0;14.0;14.0;11.0;10.0;10.0;9.0;9.0;9.0;9.0;9.0;;;;13001
2013-01;14.0;9.0;6.0;6.0;6.0;6.0;7.0;6.0;5.0;4.0;3.0;4.0;;;;;13001
2014-01;21.0;16.0;14.0;13.0;10.0;7.0;4.0;5.0;5.0;4.0;4.0;;;;;;13001
2015-01;17.0;15.0;14.0;10.0;10.0;11.0;12.0;12.0;12.0;12.0;;;;;;;13001
2016-01;26.0;24.0;21.0;20.0;18.0;16.0;16.0;17.0;17.0;;;;;;;;13001
2017-01;16.0;13.0;12.0;10.0;10.0;9.0;8.0;7.0;;;;;;;;;13001
2018-01;33.0;28.0;17.0;17.0;17.0;19.0;18.0;;;;;;;;;;13001
2019-01;35.0;26.0;27.0;25.0;24.0;23.0;;;;;;;;;;;13001
2020-01;52.0;47.0;38.0;35.0;33.0;;;;;;;;;;;;13001
2021-01;15.0;13.0;12.0;8.0;;;;;;;;;;;;;13001
2022-01;29.0;24.0;22.0;;;;;;;;;;;;;;13001
2023-01;33.0;29.0;;;;;;;;;;;;;;;13001
2024-01;36.0;;;;;;;;;;;;;;;;13001
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;13009
2015-01;1.0;1.0;1.0;;;;;;;;;;;;;;13009
2018-01;4.0;3.0;3.0;2.0;3.0;3.0;2.0;;;;;;;;;;13009
2019-01;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;13009
2021-01;3.0;2.0;2.0;2.0;;;;;;;;;;;;;13009
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;13009
2024-01;2.0;;;;;;;;;;;;;;;;13009
2010-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;13002
